Iteration 119: x = -2.340832, y = -2.340832, f(x, y) = 41.763599
Iteration 120: x = -1.765274, y = -1.765274, f(x, y) = 24.315917
Iteration 121: x = -2.355396, y = -2.355396, f(x, y) = 43.393199
Iteration 122: x = -1.812779, y = -1.812779, f(x, y) = 18.886330
Iteration 123: x = -2.356592, y = -2.356592, f(x, y) = 43.522638
Iteration 124: x = -1.816868, y = -1.816868, f(x, y) = 18.444229
Iteration 125: x = -2.354205, y = -2.354205, f(x, y) = 43.263582
Iteration 126: x = -1.808734, y = -1.808734, f(x, y) = 19.328750
Iteration 127: x = -2.358577, y = -2.358577, f(x, y) = 43.735929
Iteration 128: x = -1.823715, y = -1.823715, f(x, y) = 17.716216
Iteration 129: x = -2.349361, y = -2.349361, f(x, y) = 42.729672
Iteration 130: x = -1.792576, y = -1.792576, f(x, y) = 21.140026
Iteration 131: x = -2.362695, y = -2.362695, f(x, y) = 44.172194
Iteration 132: x = -1.838163, y = -1.838163, f(x, y) = 16.236797
Iteration 133: x = -2.335757, y = -2.335757, f(x, y) = 41.174165
Iteration 134: x = -1.749750, y = -1.749750, f(x, y) = 26.154621
Iteration 135: x = -2.343073, y = -2.343073, f(x, y) = 42.020564
Iteration 136: x = -1.772304, y = -1.772304, f(x, y) = 23.488480
Iteration 137: x = -2.359017, y = -2.359017, f(x, y) = 43.782948
Iteration 138: x = -1.825243, y = -1.825243, f(x, y) = 17.555968
Iteration 139: x = -2.348137, y = -2.348137, f(x, y) = 42.593054
Iteration 140: x = -1.788567, y = -1.788567, f(x, y) = 21.598721
Iteration 141: x = -2.362757, y = -2.362757, f(x, y) = 44.178705
Iteration 142: x = -1.838383, y = -1.838383, f(x, y) = 16.214888
Iteration 143: x = -2.335515, y = -2.335515, f(x, y) = 41.145783
Iteration 144: x = -1.749023, y = -1.749023, f(x, y) = 26.240888
Iteration 145: x = -2.342350, y = -2.342350, f(x, y) = 41.937862
Iteration 146: x = -1.770024, y = -1.770024, f(x, y) = 23.756346
Iteration 147: x = -2.357976, y = -2.357976, f(x, y) = 43.671533
Iteration 148: x = -1.821633, y = -1.821633, f(x, y) = 17.935862
Iteration 149: x = -2.350945, y = -2.350945, f(x, y) = 42.905456
Iteration 150: x = -1.797808, y = -1.797808, f(x, y) = 20.546486
Iteration 151: x = -2.362036, y = -2.362036, f(x, y) = 44.102967
Iteration 152: x = -1.835830, y = -1.835830, f(x, y) = 16.470126
Iteration 153: x = -2.338259, y = -2.338259, f(x, y) = 41.466056
Iteration 154: x = -1.757335, y = -1.757335, f(x, y) = 25.255021
Iteration 155: x = -2.349840, y = -2.349840, f(x, y) = 42.782903
Iteration 156: x = -1.794151, y = -1.794151, f(x, y) = 20.960661
Iteration 157: x = -2.362565, y = -2.362565, f(x, y) = 44.158577
Iteration 158: x = -1.837703, y = -1.837703, f(x, y) = 16.282637
Iteration 159: x = -2.336260, y = -2.336260, f(x, y) = 41.233002
Iteration 160: x = -1.751263, y = -1.751263, f(x, y) = 25.975096
Iteration 161: x = -2.344537, y = -2.344537, f(x, y) = 42.187181
Iteration 162: x = -1.776950, y = -1.776950, f(x, y) = 22.944593
Iteration 163: x = -2.360743, y = -2.360743, f(x, y) = 43.966513
Iteration 164: x = -1.831276, y = -1.831276, f(x, y) = 16.931877
Iteration 165: x = -2.342806, y = -2.342806, f(x, y) = 41.990034
Iteration 166: x = -1.771460, y = -1.771460, f(x, y) = 23.587534
Iteration 167: x = -2.358646, y = -2.358646, f(x, y) = 43.743376
Iteration 168: x = -1.823957, y = -1.823957, f(x, y) = 17.690826
Iteration 169: x = -2.349171, y = -2.349171, f(x, y) = 42.708503
Iteration 170: x = -1.791951, y = -1.791951, f(x, y) = 21.211263
Iteration 171: x = -2.362730, y = -2.362730, f(x, y) = 44.175866
Iteration 172: x = -1.838287, y = -1.838287, f(x, y) = 16.224439
Iteration 173: x = -2.335621, y = -2.335621, f(x, y) = 41.158177
Iteration 174: x = -1.749341, y = -1.749341, f(x, y) = 26.203243
Iteration 175: x = -2.342667, y = -2.342667, f(x, y) = 41.974163
Iteration 176: x = -1.771023, y = -1.771023, f(x, y) = 23.638947
Iteration 177: x = -2.358447, y = -2.358447, f(x, y) = 43.722085
Iteration 178: x = -1.823267, y = -1.823267, f(x, y) = 17.763419
Iteration 179: x = -2.349711, y = -2.349711, f(x, y) = 42.768557
Iteration 180: x = -1.793726, y = -1.793726, f(x, y) = 21.009033
Iteration 181: x = -2.362606, y = -2.362606, f(x, y) = 44.162867
Iteration 182: x = -1.837847, y = -1.837847, f(x, y) = 16.268191
Iteration 183: x = -2.336102, y = -2.336102, f(x, y) = 41.214540
Iteration 184: x = -1.750788, y = -1.750788, f(x, y) = 26.031528
Iteration 185: x = -2.344083, y = -2.344083, f(x, y) = 42.135602
Iteration 186: x = -1.775504, y = -1.775504, f(x, y) = 23.113547
Iteration 187: x = -2.360263, y = -2.360263, f(x, y) = 43.915567
Iteration 188: x = -1.829591, y = -1.829591, f(x, y) = 17.104797
Iteration 189: x = -2.344375, y = -2.344375, f(x, y) = 42.168799
Iteration 190: x = -1.776434, y = -1.776434, f(x, y) = 23.004862
Iteration 191: x = -2.360578, y = -2.360578, f(x, y) = 43.948965
Iteration 192: x = -1.830695, y = -1.830695, f(x, y) = 16.991409
Iteration 193: x = -2.343354, y = -2.343354, f(x, y) = 42.052621
Iteration 194: x = -1.773193, y = -1.773193, f(x, y) = 23.384270
Iteration 195: x = -2.359388, y = -2.359388, f(x, y) = 43.822528
Iteration 196: x = -1.826535, y = -1.826535, f(x, y) = 17.421183
Iteration 197: x = -2.347063, y = -2.347063, f(x, y) = 42.472529
Iteration 198: x = -1.785073, y = -1.785073, f(x, y) = 22.001194
Iteration 199: x = -2.362495, y = -2.362495, f(x, y) = 44.151265
Iteration 200: x = -1.837456, y = -1.837456, f(x, y) = 16.307266
Iteration 201: x = -2.336528, y = -2.336528, f(x, y) = 41.264310
Iteration 202: x = -1.752072, y = -1.752072, f(x, y) = 25.879189
Iteration 203: x = -2.345295, y = -2.345295, f(x, y) = 42.273182
Iteration 204: x = -1.779376, y = -1.779376, f(x, y) = 22.661769
Iteration 205: x = -2.361435, y = -2.361435, f(x, y) = 44.039619
Iteration 206: x = -1.833708, y = -1.833708, f(x, y) = 16.684215
Iteration 207: x = -2.340432, y = -2.340432, f(x, y) = 41.717633
Iteration 208: x = -1.764034, y = -1.764034, f(x, y) = 24.462375
Iteration 209: x = -2.354631, y = -2.354631, f(x, y) = 43.309999
Iteration 210: x = -1.810176, y = -1.810176, f(x, y) = 19.170375
Iteration 211: x = -2.357912, y = -2.357912, f(x, y) = 43.664707
Iteration 212: x = -1.821413, y = -1.821413, f(x, y) = 17.959156
Iteration 213: x = -2.351107, y = -2.351107, f(x, y) = 42.923335
Iteration 214: x = -1.798344, y = -1.798344, f(x, y) = 20.485932
Iteration 215: x = -2.361931, y = -2.361931, f(x, y) = 44.091976
Iteration 216: x = -1.835460, y = -1.835460, f(x, y) = 16.507235
Iteration 217: x = -2.338644, y = -2.338644, f(x, y) = 41.510760
Iteration 218: x = -1.758514, y = -1.758514, f(x, y) = 25.115307
Iteration 219: x = -2.350764, y = -2.350764, f(x, y) = 42.885393
Iteration 220: x = -1.797206, y = -1.797206, f(x, y) = 20.614398
Iteration 221: x = -2.362145, y = -2.362145, f(x, y) = 44.114420
Iteration 222: x = -1.836214, y = -1.836214, f(x, y) = 16.431478
Iteration 223: x = -2.337854, y = -2.337854, f(x, y) = 41.419003
Iteration 224: x = -1.756099, y = -1.756099, f(x, y) = 25.401536
Iteration 225: x = -2.348834, y = -2.348834, f(x, y) = 42.670919
Iteration 226: x = -1.790846, y = -1.790846, f(x, y) = 21.337595
Iteration 227: x = -2.362769, y = -2.362769, f(x, y) = 44.179965
Iteration 228: x = -1.838426, y = -1.838426, f(x, y) = 16.210650
Iteration 229: x = -2.335468, y = -2.335468, f(x, y) = 41.140273
Iteration 230: x = -1.748882, y = -1.748882, f(x, y) = 26.257610
Iteration 231: x = -2.342208, y = -2.342208, f(x, y) = 41.921632
Iteration 232: x = -1.769578, y = -1.769578, f(x, y) = 23.808746
Iteration 233: x = -2.357757, y = -2.357757, f(x, y) = 43.648099
Iteration 234: x = -1.820879, y = -1.820879, f(x, y) = 18.015835
Iteration 235: x = -2.351495, y = -2.351495, f(x, y) = 42.966238
Iteration 236: x = -1.799636, y = -1.799636, f(x, y) = 20.340502
Iteration 237: x = -2.361652, y = -2.361652, f(x, y) = 44.062556
Iteration 238: x = -1.834475, y = -1.834475, f(x, y) = 16.606638
Iteration 239: x = -2.339658, y = -2.339658, f(x, y) = 41.628229
Iteration 240: x = -1.761636, y = -1.761636, f(x, y) = 24.745817
Iteration 241: x = -2.353043, y = -2.353043, f(x, y) = 43.136547
Iteration 242: x = -1.804816, y = -1.804816, f(x, y) = 19.761701
Iteration 243: x = -2.360138, y = -2.360138, f(x, y) = 43.902350
